,OD,Plein Tarif Loisir 2nde,1ère classe,dist
2261,LILLE FLANDRES-ROUBAIX,3.7,7.0,
2262,LILLE FLANDRES-SALLANCHES COMBLOUX MEGEVE,127.0,167.0,
2263,LILLE FLANDRES-SETE,150.0,188.0,
2264,LILLE FLANDRES-ST AVRE LA CHAMBRE,127.0,167.0,
2265,LILLE FLANDRES-ST BRIEUC,119.0,153.0,
2266,LILLE FLANDRES-ST GERVAIS LES BAINS LE FAYET,127.0,167.0,
2267,LILLE FLANDRES-ST JEAN DE LUZ CIBOURE,144.0,174.0,
2268,LILLE FLANDRES-ST JEAN DE MAURIENNE ARVAN,127.0,167.0,
2269,LILLE FLANDRES-ST MALO,110.0,140.0,
2270,LILLE FLANDRES-ST MICHEL VALLOIRE,127.0,167.0,
2271,LILLE FLANDRES-ST PIERRE DES CORPS,101.0,134.0,
2272,LILLE FLANDRES-ST RAPHAEL VALESCURE,155.0,196.0,
2273,LILLE FLANDRES-STRASBOURG,132.0,152.0,
2274,LILLE FLANDRES-TGV HAUTE PICARDIE,22.5,33.0,
2275,LILLE FLANDRES-TOULON,155.0,196.0,
2276,LILLE FLANDRES-TOULOUSE MATABIAU,150.0,188.0,
2277,LILLE FLANDRES-TOURCOING,4.3,7.7,
2278,LILLE FLANDRES-TOURS,101.0,134.0,
2279,LILLE FLANDRES-VALENCE,127.0,159.0,
2280,LILLE FLANDRES-VALENCE TGV,127.0,159.0,
2281,LILLE FLANDRES-VENDOME VILLIERS SUR LOIR,101.0,134.0,
2282,LILLE FLANDRES-VIERZON VILLE,97.0,123.0,
2283,LIMOGES BENEDICTINS-AEROPORT CDG 2 TGV ROISSY,88.0,111.0,
2284,LIMOGES BENEDICTINS-BRIVE LA GAILLARDE,21.0,32.0,
2285,LIMOGES BENEDICTINS-CHATEAUROUX,26.5,41.0,
2286,LIMOGES BENEDICTINS-JUVISY,62.0,90.0,
2287,LIMOGES BENEDICTINS-JUVISY TGV,62.0,90.0,
2288,LIMOGES BENEDICTINS-LA SOUTERRAINE,14.7,21.5,
2289,LIMOGES BENEDICTINS-LES AUBRAIS ORLEANS,46.0,70.0,
2290,LIMOGES BENEDICTINS-LILLE EUROPE,119.0,149.0,
2291,LIMOGES BENEDICTINS-MARNE LA VALLEE CHESSY,88.0,111.0,
2292,LIMOGES BENEDICTINS-VIERZON VILLE,36.0,53.0,
2293,LISON-AIME LA PLAGNE,125.0,165.0,
2294,LISON-ALBERTVILLE,125.0,165.0,
2295,LISON-BERNAY,26.0,39.0,
2296,LISON-BOURG ST MAURICE,125.0,165.0,
2297,LISON-LISIEUX,22.0,32.0,
2298,LISON-MASSY PALAISEAU,52.0,86.0,
2299,LISON-MOUTIERS SALINS BRIDES,125.0,165.0,
2300,LONS LE SAUNIER-MONTBELIARD,30.0,44.0,
2301,LORIENT - AEROPORT CDG2 TGV ROISSY,100.0,140.0,
2302,LORIENT - ARRAS,116.0,153.0,
2303,LORIENT - DOUAI,116.0,153.0,
2304,LORIENT - MARNE LA VALLEE CHESSY,100.0,140.0,
2305,LORIENT - PARIS MONTPARNASSE 1 ET 2,100.0,140.0,
2306,LORIENT - TGV HAUTE PICARDIE,106.0,140.0,
