,OD,Plein Tarif Loisir 2nde,1ère classe,dist
2792,MASSY TGV - QUIMPER,103.0,147.0,
2793,MASSY TGV - QUIMPERLE,103.0,147.0,
2794,MASSY TGV - REDON,94.0,136.0,
2795,MASSY TGV - RENNES,93.0,131.0,
2796,MASSY TGV - ROSPORDEN,103.0,147.0,
2797,MASSY TGV - RUFFEC CHARENTE,93.0,129.0,
2798,MASSY TGV - SABLE,72.0,102.0,
2799,MASSY TGV - SAVENAY,88.0,128.0,
2800,MASSY TGV - ST BRIEUC,94.0,136.0,
2801,MASSY TGV - ST JEAN DE LUZ CIBOURE,123.0,173.0,
2802,MASSY TGV - ST MAIXENT DEUX SEVRES,90.0,126.0,
2803,MASSY TGV - ST MALO,95.0,138.0,
2804,MASSY TGV - ST NAZAIRE,88.0,128.0,
2805,MASSY TGV - SURGERES,94.0,130.0,
2806,MASSY TGV - TARBES,128.0,173.0,
2807,MASSY TGV - TOULOUSE MATABIAU,121.0,173.0,
2808,MASSY TGV - VANNES,97.0,136.0,
2809,MASSY TGV-AEROPORT CDG 2 TGV ROISSY,35.0,47.0,
2810,MASSY TGV-AIME LA PLAGNE,118.0,161.0,
2811,MASSY TGV-AIX LES BAINS LE REVARD,103.0,136.0,
2812,MASSY TGV-ALBERTVILLE,115.0,154.0,
2813,MASSY TGV-ANCENIS,77.0,111.0,
2814,MASSY TGV-ANNECY,104.0,140.0,
2815,MASSY TGV-ANNEMASSE,108.0,152.0,
2816,MASSY TGV-ARCACHON,102.0,134.0,
2817,MASSY TGV-ARRAS,50.0,61.0,
2818,MASSY TGV-AURAY,91.0,127.0,
2819,MASSY TGV-BAYONNE,112.0,147.0,
2820,MASSY TGV-BOURG ST MAURICE,118.0,161.0,
2821,MASSY TGV-CHAMPAGNE ARDENNE,44.0,61.0,
2822,MASSY TGV-CHATELLERAULT,75.0,107.0,
2823,MASSY TGV-CLUSES  74,119.0,163.0,
2824,MASSY TGV-DOL,85.0,123.0,
2825,MASSY TGV-DOUAI,52.0,66.0,
2826,MASSY TGV-FACTURE BIGANOS,102.0,134.0,
2827,MASSY TGV-FUTUROSCOPE,75.0,107.0,
2828,MASSY TGV-GRENOBLE,108.0,145.0,
2829,MASSY TGV-GUINGAMP,88.0,123.0,
2830,MASSY TGV-LA BAULE ESCOUBLAC,87.0,126.0,
2831,MASSY TGV-LA ROCHE SUR FORON,109.0,150.0,
2832,MASSY TGV-LA ROCHELLE VILLE,89.0,123.0,
2833,MASSY TGV-LAMBALLE,84.0,122.0,
2834,MASSY TGV-LANDRY,118.0,161.0,
2835,MASSY TGV-LE CREUSOT MONTCEAU MONTCHANIN,82.0,114.0,
2836,MASSY TGV-LE CROISIC,87.0,126.0,
2837,MASSY TGV-LE POULIGUEN,87.0,126.0,
2838,MASSY TGV-LIBOURNE,96.0,126.0,
2839,MASSY TGV-LILLE EUROPE,63.0,82.0,
2840,MASSY TGV-LORIENT,91.0,127.0,
2841,MASSY TGV-LORRAINE TGV,77.0,110.0,
2842,MASSY TGV-LOURDES,118.0,156.0,
2843,MASSY TGV-LYON PART DIEU,97.0,133.0,
2844,MASSY TGV-LYON PERRACHE,97.0,133.0,
2845,MASSY TGV-LYON ST EXUPERY,97.0,133.0,
2846,MASSY TGV-MARMANDE,108.0,140.0,
2847,MASSY TGV-MARNE LA VALLEE CHESSY,35.0,47.0,
2848,MASSY TGV-MARSEILLE ST CHARLES,116.0,162.0,
2849,MASSY TGV-MEUSE,44.0,68.0,
2850,MASSY TGV-MONTAUBAN VILLE BOURBON,109.0,142.0,
2851,MASSY TGV-MONTPELLIER,114.0,160.0,
2852,MASSY TGV-MORLAIX,91.0,127.0,
2853,MASSY TGV-MOUTIERS SALINS BRIDES,118.0,159.0,
2854,MASSY TGV-NANCY VILLE,77.0,110.0,
2855,MASSY TGV-NANTES,85.0,122.0,
2856,MASSY TGV-NIMES,114.0,160.0,
2857,MASSY TGV-NIORT,84.0,118.0,
2858,MASSY TGV-ORTHEZ,112.0,147.0,
2859,MASSY TGV-POITIERS,75.0,107.0,
2860,MASSY TGV-PORNICHET,87.0,126.0,
2861,MASSY TGV-QUIMPER,95.0,134.0,
2862,MASSY TGV-QUIMPERLE,95.0,134.0,
2863,MASSY TGV-REDON,84.0,122.0,
2864,MASSY TGV-RENNES,80.0,113.0,
2865,MASSY TGV-ROSPORDEN,95.0,134.0,
2866,MASSY TGV-ROUEN RIVE DROITE,27.5,41.0,
2867,MASSY TGV-RUFFEC CHARENTE,87.0,121.0,
2868,MASSY TGV-SABLE,67.0,95.0,
2869,MASSY TGV-SALLANCHES COMBLOUX MEGEVE,119.0,163.0,
2870,MASSY TGV-SAVENAY,85.0,122.0,
2871,MASSY TGV-SAVERNE,85.0,124.0,
2872,MASSY TGV-ST AVRE LA CHAMBRE,109.0,144.0,
2873,MASSY TGV-ST BRIEUC,84.0,122.0,
2874,MASSY TGV-ST GERVAIS LES BAINS LE FAYET,119.0,163.0,
2875,MASSY TGV-ST JEAN DE LUZ CIBOURE,112.0,147.0,
2876,MASSY TGV-ST JEAN DE MAURIENNE ARVAN,111.0,149.0,
2877,MASSY TGV-ST MAIXENT DEUX SEVRES,84.0,118.0,
2878,MASSY TGV-ST MALO,85.0,123.0,
2879,MASSY TGV-ST MICHEL VALLOIRE,113.0,154.0,
2880,MASSY TGV-ST NAZAIRE,86.0,125.0,
2881,MASSY TGV-ST PIERRE DES CORPS,65.0,89.0,
2882,MASSY TGV-SURGERES,89.0,123.0,
2883,MASSY TGV-TARBES,118.0,156.0,
2884,MASSY TGV-TGV HAUTE PICARDIE,45.0,50.0,
2885,MASSY TGV-TOULOUSE MATABIAU,109.0,142.0,
2886,MASSY TGV-VALENCE,103.0,143.0,
2887,MASSY TGV-VALENCE TGV,107.0,147.0,
2888,MASSY TGV-VANNES,88.0,123.0,
2889,MASSY TGV-VENDOME VILLIERS SUR LOIR,55.0,77.0,
2890,MASSY TGV-YVETOT,35.0,50.0,
2891,MELUN-LE CREUSOT MONTCEAU MONTCHANIN,67.0,84.0,
2892,MELUN-MARSEILLE ST CHARLES,105.0,148.0,
2893,MELUN-SENS,15.0,22.0,
2894,MELUN-VALENCE TGV,93.0,133.0,
2895,MENTON-LES ARCS DRAGUIGNAN,23.5,35.0,
2896,MENTON-ST RAPHAEL VALESCURE,19.5,27.0,
2897,MENTON-VENTIMIGLIA STAZIONE,2.2,4.3,
2898,MENTON-VENTIMIGLIA STAZIONE  (IT),2.2,4.3,
2899,METZ VILLE-AIX EN PROVENCE TGV,124.0,161.0,
2900,METZ VILLE-ANTIBES,143.0,183.0,
2901,METZ VILLE-AVIGNON,114.0,149.0,
2902,METZ VILLE-AVIGNON TGV,114.0,149.0,
2903,METZ VILLE-BAR LE DUC,21.0,32.0,
2904,METZ VILLE-BELFORT-MONTBELIARD TGV,54.0,76.0,
2905,METZ VILLE-BESANCON FRANCHE-COMTE TGV,62.0,82.0,
2906,METZ VILLE-CANNES,143.0,183.0,
2907,METZ VILLE-CHALON SUR SAONE,54.0,87.0,
2908,METZ VILLE-CHALONS EN CHAMPAGNE,33.0,49.0,
2909,METZ VILLE-CHAMPAGNE ARDENNE,46.0,67.0,
2910,METZ VILLE-CULMONT CHALINDREY,38.0,58.0,
2911,METZ VILLE-Colmar,46.0,62.0,
2912,METZ VILLE-IS SUR TILLE,46.0,68.0,
2913,METZ VILLE-LES ARCS DRAGUIGNAN,132.0,168.0,
2914,METZ VILLE-LYON PART DIEU,88.0,112.0,
2915,METZ VILLE-LYON PERRACHE,88.0,112.0,
2916,METZ VILLE-LYON ST EXUPERY,88.0,112.0,
2917,METZ VILLE-MACON LOCHE TGV,62.0,88.0,
2918,METZ VILLE-MACON VILLE,79.0,100.0,
2919,METZ VILLE-MARSEILLE ST CHARLES,124.0,161.0,
2920,METZ VILLE-MEUSE,33.0,46.0,
2921,METZ VILLE-MONTPELLIER,124.0,161.0,
2922,METZ VILLE-MULHOUSE VILLE,50.0,73.0,
2923,METZ VILLE-NANCY VILLE,12.9,20.5,
2924,METZ VILLE-NEUFCHATEAU,25.5,42.0,
2925,METZ VILLE-NICE VILLE,143.0,183.0,
2926,METZ VILLE-NIMES,120.0,153.0,
2927,METZ VILLE-PARIS EST,77.0,110.0,
2928,METZ VILLE-ST RAPHAEL VALESCURE,143.0,183.0,
2929,METZ VILLE-STRASBOURG,41.0,58.0,
2930,METZ VILLE-THIONVILLE,8.5,13.0,
2931,METZ VILLE-TOUL,12.9,20.5,
2932,METZ VILLE-TOULON,132.0,168.0,
2933,METZ VILLE-VALENCE TGV,109.0,142.0,
2934,MEUSE TGV - FUTUROSCOPE,106.0,138.0,
2935,MEUSE TGV - POITIERS,106.0,138.0,
2936,MEUSE TGV-LILLE EUROPE-147322,84.0,121.0,
2937,MEUSE-AEROPORT CDG 2 TGV ROISSY,44.0,68.0,
2938,MEUSE-EPINAL,37.0,54.0,
2939,MEUSE-FUTUROSCOPE,102.0,133.0,
2940,MEUSE-LIBOURNE,124.0,163.0,
2941,MEUSE-LORRAINE TGV,23.5,33.0,
2942,MEUSE-LUNEVILLE,33.0,46.0,
2943,MEUSE-MANTES LA JOLIE,44.0,68.0,
2944,MEUSE-MARNE LA VALLEE CHESSY,44.0,68.0,
2945,MEUSE-NANCY VILLE,23.5,33.0,
2946,MEUSE-PARIS EST,44.0,68.0,
2947,MEUSE-POITIERS,102.0,133.0,
2948,MEUSE-REMIREMONT,46.0,68.0,
2949,MEUSE-ROUEN RIVE DROITE,60.0,77.0,
2950,MEUSE-SAVERNE,51.0,73.0,
2951,MEUSE-ST DIE,33.0,46.0,
2952,MEUSE-ST PIERRE DES CORPS,87.0,115.0,
2953,MEUSE-THIONVILLE,33.0,46.0,
2954,MEUSE-VENDOME VILLIERS SUR LOIR,87.0,115.0,
2955,MIRAMAS-MACON LOCHE TGV,64.0,91.0,
2956,MIRAMAS-MONTELIMAR,29.0,43.0,
2957,MIRAMAS-ORANGE,20.5,30.0,
2958,MIRAMAS-PARIS GARE DE LYON,105.0,147.0,
2959,MIRAMAS-VALENCE,35.0,50.0,
2960,MIRAMAS-VALENCE TGV,34.0,49.0,
2961,MODANE-AEROPORT CDG 2 TGV ROISSY,113.0,154.0,
2962,MODANE-AIX LES BAINS LE REVARD,23.5,35.0,
2963,MODANE-ARRAS,127.0,167.0,
2964,MODANE-AURAY,137.0,179.0,
2965,MODANE-BOURG EN BRESSE,38.0,53.0,
2966,MODANE-BREST,147.0,190.0,
2967,MODANE-CHAMBERY CHALLES LES EAUX,21.0,31.0,
2968,MODANE-DOUAI,127.0,167.0,
2969,MODANE-GUINGAMP,137.0,179.0,
2970,MODANE-LILLE EUROPE,127.0,167.0,
2971,MODANE-LORIENT,137.0,179.0,
2972,MODANE-LYON PART DIEU,45.0,66.0,
2973,MODANE-LYON PERRACHE,45.0,66.0,
2974,MODANE-LYON ST EXUPERY,42.0,65.0,
2975,MODANE-MACON LOCHE TGV,40.0,61.0,
2976,MODANE-MARNE LA VALLEE CHESSY,113.0,154.0,
2977,MODANE-MASSY PALAISEAU,113.0,154.0,
2978,MODANE-MASSY TGV,113.0,154.0,
2979,MODANE-MORLAIX,147.0,190.0,
2980,MODANE-NANTES,127.0,167.0,
2981,MODANE-PARIS GARE DE LYON,113.0,154.0,
2982,MODANE-PARIS NORD,113.0,154.0,
2983,MODANE-QUIMPER,147.0,190.0,
2984,MODANE-REDON,137.0,179.0,
2985,MODANE-RENNES,132.0,170.0,
2986,MODANE-ST AVRE LA CHAMBRE,10.5,14.8,
2987,MODANE-ST BRIEUC,137.0,179.0,
2988,MODANE-ST JEAN DE MAURIENNE ARVAN,8.5,12.6,
2989,MODANE-ST MICHEL VALLOIRE,5.3,10.7,
2990,MODANE-TGV HAUTE PICARDIE,119.0,156.0,
2991,MODANE-VANNES,137.0,179.0,
2992,MODANE-VERSAILLES CHANTIERS,113.0,154.0,
2993,MONACO MONTE CARLO-LES ARCS DRAGUIGNAN,22.0,33.0,
2994,MONACO MONTE CARLO-MENTON,3.0,5.8,
2995,MONACO MONTE CARLO-ST RAPHAEL VALESCURE,17.5,24.0,
2996,MONACO MONTE CARLO-VENTIMIGLIA STAZIONE,3.9,7.7,
2997,MONACO MONTE CARLO-VENTIMIGLIA STAZIONE  (IT),3.9,7.7,
2998,MONTAUBAN VILLE BOURBON - ST PIERRE DES CORPS,79.0,115.0,
2999,MONTAUBAN VILLE BOURBON-NARBONNE,36.0,53.0,
3000,MONTAUBAN VILLE BOURBON-SETE,45.0,65.0,
3001,MONTAUBAN VILLE BOURBON-ST PIERRE DES CORPS,76.0,110.0,
3002,MONTAUBAN VILLE BOURBON-TOULOUSE MATABIAU,13.2,19.5,
3003,MONTBARD-AEROPORT CDG 2 TGV ROISSY,57.0,78.0,
3004,MONTBARD-BEAUNE,22.5,34.0,
3005,MONTBARD-BELFORT-MONTBELIARD TGV,53.0,70.0,
3006,MONTBARD-BESANCON FRANCHE-COMTE TGV,43.0,48.0,
3007,MONTBARD-CHALON SUR SAONE,27.5,41.0,
3008,MONTBARD-ECOLE VALENTIN,43.0,48.0,
3009,MONTBARD-LILLE EUROPE,102.0,121.0,
3010,MONTBARD-LISIEUX,78.0,102.0,
3011,MONTBARD-MANTES LA J. TGV,57.0,78.0,
3012,MONTBARD-MANTES LA JOLIE,57.0,78.0,
3013,MONTBARD-MARNE LA VALLEE CHESSY,57.0,78.0,
3014,MONTBARD-MONTBELIARD,48.0,73.0,
3015,MONTBARD-MOUCHARD,20.0,25.0,
3016,MONTBARD-PARIS BERCY,57.0,78.0,
3017,MONTBARD-PARIS GARE DE LYON,57.0,78.0,
3018,MONTBARD-PARIS NORD,57.0,78.0,
3019,MONTBARD-PONTARLIER,24.5,33.0,
3020,MONTELIMAR-NARBONNE,43.0,65.0,
3021,MONTELIMAR-ORANGE,12.6,18.5,
3022,MONTELIMAR-SETE,37.0,52.0,
3023,MONTPELLIER - RENNES,148.0,188.0,
3024,MONTPELLIER - ST PIERRE DES CORPS,125.0,168.0,
3025,MONTPELLIER-AGDE,13.2,19.5,
3026,MONTPELLIER-ARRAS,144.0,184.0,
3027,MONTPELLIER-BEAUNE,81.0,107.0,
3028,MONTPELLIER-BELFORT-MONTBELIARD TGV,123.0,160.0,
3029,MONTPELLIER-BELLEGARDE,74.0,107.0,
3030,MONTPELLIER-BESANCON FRANCHE-COMTE TGV,111.0,144.0,
3031,MONTPELLIER-CHALON SUR SAONE,81.0,107.0,
3032,MONTPELLIER-DOUAI,144.0,184.0,
3033,MONTPELLIER-ECOLE VALENTIN,111.0,144.0,
3034,MONTPELLIER-LE CREUSOT MONTCEAU MONTCHANIN,70.0,104.0,
3035,MONTPELLIER-MARSEILLE ST CHARLES,37.0,50.0,
3036,MONTPELLIER-MONTAUBAN VILLE BOURBON,47.0,72.0,
3037,MONTPELLIER-MONTBELIARD,96.0,129.0,
3038,MONTPELLIER-MONTELIMAR,31.0,47.0,
3039,MONTPELLIER-NANTES,142.0,180.0,
3040,MONTPELLIER-NARBONNE,20.0,30.0,
3041,MONTPELLIER-NEUFCHATEAU,89.0,117.0,
3042,MONTPELLIER-ORANGE,25.5,38.0,
3043,MONTPELLIER-PARIS GARE DE LYON,114.0,160.0,
3044,MONTPELLIER-PARIS MONTPARNASSE 1 ET 2,114.0,160.0,
3045,MONTPELLIER-PARIS NORD,114.0,160.0,
3046,MONTPELLIER-PERPIGNAN,31.0,44.0,
3047,MONTPELLIER-RENNES,142.0,180.0,
3048,MONTPELLIER-SETE,8.4,13.2,
3049,MONTPELLIER-ST PIERRE DES CORPS,125.0,167.0,
3050,MONTPELLIER-TGV HAUTE PICARDIE,136.0,174.0,
3051,MONTPELLIER-TOUL,93.0,121.0,
3052,MONTPELLIER-TOULOUSE MATABIAU,41.0,62.0,
3053,MONTPELLIER-VALENCE,45.0,67.0,
3054,MONTPELLIER-VALENCE TGV,47.0,67.0,
3055,MORCENX-BAYONNE,19.0,27.0,
3056,MORCENX-PARIS MONTPARNASSE 1 ET 2,110.0,143.0,
3057,MORCENX-POITIERS,60.0,86.0,
3058,MORCENX-ST JEAN DE LUZ CIBOURE,19.0,27.0,
3059,MORCENX-ST PIERRE DES CORPS,70.0,103.0,
3060,MORCENX-TARBES,25.0,37.0,
3061,MORLAIX - PARIS MONTPARNASSE 1 ET 2,99.0,138.0,
3062,MORLAIX-AIME LA PLAGNE,147.0,190.0,
3063,MORLAIX-AIX LES BAINS LE REVARD,147.0,190.0,
3064,MORLAIX-ALBERTVILLE,147.0,190.0,
3065,MORLAIX-ANNECY,147.0,190.0,
3066,MORLAIX-ANNEMASSE,147.0,190.0,
3067,MORLAIX-ARRAS,125.0,161.0,
3068,MORLAIX-BOURG ST MAURICE,147.0,190.0,
3069,MORLAIX-DOUAI,125.0,161.0,
3070,MORLAIX-LANDERNEAU,10.8,16.0,
3071,MORLAIX-LE CREUSOT MONTCEAU MONTCHANIN,129.0,166.0,
3072,MORLAIX-MOUTIERS SALINS BRIDES,147.0,190.0,
3073,MORLAIX-NANTES,52.0,78.0,
3074,MORLAIX-PARIS MONTPARNASSE 1 ET 2,91.0,127.0,
3075,MORLAIX-PLOUARET TREGOR,9.1,13.7,
3076,MORLAIX-RENNES,35.0,49.0,
3077,MORLAIX-SALLANCHES COMBLOUX MEGEVE,147.0,190.0,
3078,MORLAIX-ST BRIEUC,19.5,27.5,
3079,MORLAIX-ST GERVAIS LES BAINS LE FAYET,147.0,190.0,
3080,MORLAIX-ST MICHEL VALLOIRE,147.0,190.0,
3081,MORLAIX-TGV HAUTE PICARDIE,120.0,158.0,
3082,MORLAIX-VITRE,39.0,57.0,
3083,MOUCHARD-AEROPORT CDG 2 TGV ROISSY,82.0,109.0,
3084,MOUCHARD-MARNE LA VALLEE CHESSY,82.0,109.0,
3085,MOUCHARD-MARSEILLE ST CHARLES,70.0,114.0,
3086,MOUCHARD-MONTBELIARD,16.0,20.5,
3087,MOUCHARD-PARIS GARE DE LYON,82.0,109.0,
3088,MOUCHARD-PONTARLIER,14.2,20.5,
3089,MOUTIERS SALINS BRIDES L BAINS-LAVAL-MOUTIERS SALINS BRIDES L BAINS,120.0,162.0,
3090,MOUTIERS SALINS BRIDES-AIX LES BAINS LE REVARD,24.0,36.0,
3091,MOUTIERS SALINS BRIDES-ALBERTVILLE,11.0,16.0,
3092,MOUTIERS SALINS BRIDES-ARRAS,127.0,167.0,
3093,MOUTIERS SALINS BRIDES-AURAY,137.0,179.0,
3094,MOUTIERS SALINS BRIDES-BELFORT-MONTBELIARD TGV,92.0,113.0,
3095,MOUTIERS SALINS BRIDES-BERNAY,125.0,165.0,
3096,MOUTIERS SALINS BRIDES-BESANCON FRANCHE-COMTE TGV,78.0,95.0,
3097,MOUTIERS SALINS BRIDES-BOURG EN BRESSE,25.5,34.0,
3098,MOUTIERS SALINS BRIDES-DOUAI,127.0,167.0,
3099,MOUTIERS SALINS BRIDES-ECOLE VALENTIN,78.0,95.0,
3100,MOUTIERS SALINS BRIDES-LISIEUX,125.0,165.0,
3101,MOUTIERS SALINS BRIDES-QUIMPER,147.0,190.0,
3102,MOUTIERS SALINS BRIDES-REDON,137.0,179.0,
3103,MOUTIERS SALINS BRIDES-RENNES,132.0,170.0,
3104,MOUTIERS SALINS BRIDES-ROUEN RIVE DROITE,121.0,160.0,
3105,MOUTIERS SALINS BRIDES-ST BRIEUC,137.0,179.0,
3106,MOUTIERS SALINS BRIDES-TGV HAUTE PICARDIE,119.0,156.0,
3107,MOUTIERS SALINS BRIDES-VANNES,137.0,179.0,
3108,MULHOUSE VILLE-AEROPORT CDG 2 TGV ROISSY,114.0,155.0,
3109,MULHOUSE VILLE-AIME LA PLAGNE,102.0,127.0,
3110,MULHOUSE VILLE-AIX EN PROVENCE TGV,124.0,161.0,
3111,MULHOUSE VILLE-ALBERTVILLE,98.0,120.0,
3112,MULHOUSE VILLE-AVIGNON,114.0,149.0,
3113,MULHOUSE VILLE-AVIGNON TGV,114.0,149.0,
3114,MULHOUSE VILLE-BELFORT-MONTBELIARD TGV,16.5,20.5,
3115,MULHOUSE VILLE-BESANCON FRANCHE-COMTE TGV,38.0,49.0,
3116,MULHOUSE VILLE-BOURG EN BRESSE,64.0,82.0,
3117,MULHOUSE VILLE-BOURG ST MAURICE,102.0,127.0,
3118,MULHOUSE VILLE-CHALON SUR SAONE,65.0,83.0,
3119,MULHOUSE VILLE-CHAMBERY CHALLES LES EAUX,85.0,103.0,
3120,MULHOUSE VILLE-CHAMPAGNE ARDENNE,86.0,126.0,
3121,MULHOUSE VILLE-ECOLE VALENTIN,38.0,49.0,
3122,MULHOUSE VILLE-LANDRY,102.0,127.0,
3123,MULHOUSE VILLE-LILLE EUROPE,136.0,175.0,
3124,MULHOUSE VILLE-LONS LE SAUNIER,52.0,68.0,
3125,MULHOUSE VILLE-LORRAINE TGV,54.0,76.0,
3126,MULHOUSE VILLE-LYON PART DIEU,78.0,100.0,
3127,MULHOUSE VILLE-LYON PERRACHE,78.0,100.0,
3128,MULHOUSE VILLE-LYON ST EXUPERY,78.0,100.0,
3129,MULHOUSE VILLE-MACON VILLE,65.0,84.0,
3130,MULHOUSE VILLE-MARNE LA VALLEE CHESSY,114.0,155.0,
3131,MULHOUSE VILLE-MARSEILLE ST CHARLES,124.0,161.0,
3132,MULHOUSE VILLE-MONTBARD,72.0,91.0,
3133,MULHOUSE VILLE-MONTBELIARD,14.3,21.0,
3134,MULHOUSE VILLE-MONTPELLIER,123.0,160.0,
3135,MULHOUSE VILLE-MOUCHARD,42.0,64.0,
3136,MULHOUSE VILLE-MOUTIERS SALINS BRIDES,102.0,125.0,
3137,MULHOUSE VILLE-NIMES,119.0,152.0,
3138,MULHOUSE VILLE-PARIS GARE DE LYON,114.0,155.0,
3139,MULHOUSE VILLE-SAVERNE,19.5,25.0,
3140,MULHOUSE VILLE-VALENCE TGV,93.0,122.0,
3141,MULHOUSE-PARIS EST,114.0,155.0,
3142,Massy TGV-La Roche sur Yon,83.0,120.0,
3143,Massy TGV-Les Sables d'Olonne,85.0,122.0,
3144,Massy TGV-Vitre,72.0,104.0,
3145,Massy TGV-la-teste,102.0,134.0,
3146,Massy TGV-plouaret tregor,91.0,127.0,
3147,Modane-LE CREUSOT MONTCEAU MONTCHANIN,65.0,93.0,
3148,MÂCON LOCHÉ TGV-MASSY PALAISEAU,83.0,120.0,
3149,NANCY VILLE-AEROPORT CDG 2 TGV ROISSY,77.0,110.0,
3150,NANCY VILLE-ANTIBES,135.0,175.0,
3151,NANCY VILLE-CANNES,135.0,175.0,
3152,NANCY VILLE-CHALON SUR SAONE,48.0,77.0,
3153,NANCY VILLE-EPINAL,17.0,25.0,
3154,NANCY VILLE-FUTUROSCOPE,112.0,149.0,
3155,NANCY VILLE-IS SUR TILLE,40.0,57.0,
3156,NANCY VILLE-LES ARCS DRAGUIGNAN,123.0,159.0,
3157,NANCY VILLE-LILLE EUROPE,102.0,122.0,
3158,NANCY VILLE-LUNEVILLE,8.4,12.9,
3159,NANCY VILLE-LYON PART DIEU,63.0,100.0,
3160,NANCY VILLE-LYON PERRACHE,63.0,100.0,
3161,NANCY VILLE-LYON ST EXUPERY,63.0,100.0,
3162,NANCY VILLE-MACON LOCHE TGV,54.0,80.0,
3163,NANCY VILLE-MACON VILLE,54.0,87.0,
3164,NANCY VILLE-MARNE LA VALLEE CHESSY,77.0,110.0,
3165,NANCY VILLE-MARSEILLE ST CHARLES,117.0,151.0,
3166,NANCY VILLE-MONTPELLIER,117.0,151.0,
3167,NANCY VILLE-NANTES,121.0,158.0,
3168,NANCY VILLE-NEUFCHATEAU,15.0,24.5,
3169,NANCY VILLE-NICE VILLE,135.0,175.0,
3170,NANCY VILLE-NIMES,112.0,146.0,
3171,NANCY VILLE-PARIS EST,77.0,110.0,
3172,NANCY VILLE-POITIERS,112.0,149.0,
3173,NANCY VILLE-REMIREMONT,21.0,32.0,
3174,NANCY VILLE-RENNES,121.0,158.0,
3175,NANCY VILLE-SARREBOURG,18.5,27.0,
3176,NANCY VILLE-SAVERNE,21.5,33.0,
3177,NANCY VILLE-ST DIE,19.0,27.5,
3178,NANCY VILLE-ST PIERRE DES CORPS,106.0,140.0,
3179,NANCY VILLE-ST RAPHAEL VALESCURE,135.0,175.0,
3180,NANCY VILLE-TGV HAUTE PICARDIE,95.0,115.0,
3181,NANCY VILLE-TOUL,10.1,15.0,
3182,NANCY VILLE-TOULON,123.0,159.0,
3183,NANCY VILLE-VALENCE TGV,100.0,128.0,
3184,NANCY VILLE-VENDOME VILLIERS SUR LOIR,106.0,140.0,
3185,NANTES - PARIS MONTPARNASSE 1 ET 2,88.0,127.0,
3186,NANTES - TGV HAUTE PICARDIE,98.0,127.0,
3187,NANTES-AIME LA PLAGNE,127.0,167.0,
3188,NANTES-AIX LES BAINS LE REVARD,125.0,165.0,
3189,NANTES-ALBERTVILLE,127.0,167.0,
3190,NANTES-ANNEMASSE,127.0,167.0,
3191,NANTES-ARRAS,108.0,137.0,
3192,NANTES-AURAY,30.0,43.0,
3193,NANTES-BOURG ST MAURICE,127.0,167.0,
3194,NANTES-DOUAI,108.0,137.0,
3195,NANTES-LA ROCHE SUR YON,18.0,24.0,
3196,NANTES-LE CREUSOT MONTCEAU MONTCHANIN,107.0,140.0,
3197,NANTES-MOUTIERS SALINS BRIDES,127.0,167.0,
3198,NANTES-PARIS MONTPARNASSE 1 ET 2,85.0,122.0,
3199,NANTES-QUIMPER,43.0,62.0,
3200,NANTES-REDON,17.5,24.0,
3201,NANTES-RENNES,30.0,43.0,
3202,NANTES-SABLE,27.0,40.0,
3203,NANTES-SALLANCHES COMBLOUX MEGEVE,127.0,167.0,
3204,NANTES-SAVENAY,10.6,15.5,
3205,NANTES-SAVERNE,142.0,188.0,
3206,NANTES-ST BRIEUC,42.0,62.0,
3207,NANTES-ST GERVAIS LES BAINS LE FAYET,127.0,167.0,
3208,NANTES-ST MICHEL VALLOIRE,127.0,167.0,
3209,NANTES-ST NAZAIRE,14.6,21.0,
3210,NANTES-ST PIERRE DES CORPS,36.0,51.0,
3211,NANTES-TGV HAUTE PICARDIE,98.0,124.0,
3212,NANTES-VALENCE,132.0,160.0,
3213,NANTES-VALENCE TGV,132.0,160.0,
3214,NANTES-VANNES,27.0,40.0,
3215,NARBONNE-MASSY TGV,116.0,162.0,
3216,NARBONNE-SETE,16.5,24.0,
3217,NARBONNE-TOULOUSE MATABIAU,28.5,43.0,
3218,NEUFCHATEAU-ANTIBES,124.0,161.0,
3219,NEUFCHATEAU-Agde,99.0,129.0,
3220,NEUFCHATEAU-BEZIERS,99.0,129.0,
3221,NEUFCHATEAU-CHALON SUR SAONE,38.0,62.0,
3222,NEUFCHATEAU-Les Arcs Draguignan,110.0,141.0,
3223,NEUFCHATEAU-NICE VILLE,124.0,161.0,
3224,NEUFCHATEAU-SETE,99.0,129.0,
3225,NEUFCHATEAU-ST RAPHAEL VALESCURE,124.0,161.0,
3226,NEUFCHATEAU-TOUL,12.5,23.5,
3227,NEUFCHATEAU-TOULON,105.0,150.0,
3228,NEUFCHATEAU-VALENCE TGV,79.0,102.0,
3229,NEUFCHATEAU-carcassonne,106.0,137.0,
3230,NEUFCHATEAU-narbonne,103.0,135.0,
3231,NEUFCHATEAU-toulouse matabiau,113.0,146.0,
3232,NICE VILLE-AIX LES BAINS LE REVARD,104.0,160.0,
3233,NICE VILLE-ANTIBES,6.4,9.8,
3234,NICE VILLE-BEAUNE,116.0,151.0,
3235,NICE VILLE-BELLEGARDE,98.0,143.0,
3236,NICE VILLE-CHALON SUR SAONE,116.0,151.0,
3237,NICE VILLE-LES ARCS DRAGUIGNAN,19.5,28.5,
3238,NICE VILLE-MENTON,7.2,10.8,
