,Id,degree,group
162,1668292843,71,2
163,19600975,70,1
164,2886122134,70,1
165,123214520,69,1
166,1729147885,69,2
167,20757469,69,1
168,50665259,68,1
169,335295997,68,1
170,17454047,67,1
171,758888,66,1
172,350141214,66,1
173,724647542,66,1
174,3481618036,66,1
175,275072852,65,1
176,250237724,62,1
177,1384660988,61,1
178,1226245268,60,1
179,21927562,60,1
180,20519922,60,1
181,1002118947972571136,60,1
182,1169179324664205313,60,2
183,91685565,59,2
184,20455022,59,1
185,1017532453337133056,58,0
186,3407815882,57,1
187,92475907,56,1
188,21772588,56,2
189,18725978,56,1
190,291378803,55,1
191,2845221183,55,1
192,558803448,55,1
193,13717452,55,1
194,991701672106823680,55,1
195,7526892,54,1
196,396536542,53,1
197,72257200,52,1
198,54282821,52,2
199,43745768,51,1
200,109648780,51,1
201,16099079,51,1
202,101788309,51,1
203,712000194,51,2
204,111046668,51,2
205,20248366,51,1
206,819571243489824769,50,1
207,14866411,50,2
208,1657570296,49,1
209,2301274070,49,1
210,17285251,49,1
211,22636999,49,1
212,1262422675,48,1
213,17053097,48,1
214,17946250,48,1
215,112753821,48,1
216,1012295320309522433,47,1
217,303767784,47,1
218,3948260543,47,2
219,896006183366144000,47,1
220,2172569169,47,1
221,2424294720,47,1
222,1029414478218178562,46,2
223,82754453,46,1
224,55595660,46,1
225,6549332,46,1
226,14774637,46,1
227,852241,45,2
228,1301361228,45,1
229,738491831940489216,45,1
230,1274899759,45,1
231,783596,45,1
232,481470482,44,1
233,13486,44,1
234,19787080,44,1
235,14712445,44,1
236,3313829478,43,1
237,888108090591031297,43,1
238,24516055,43,1
239,761638264218542084,43,1
240,492677033,43,1
241,21770554,43,1
242,210684204,43,2
243,18897186,43,1
244,2278972220,43,1
245,410377863,43,1
246,380863305,42,1
247,386742226,42,1
248,37895085,42,1
249,244697268,42,1
250,1379849941749747714,42,1
251,12177772,42,1
252,1283811620,42,1
253,2466453506,41,1
254,882487565982552064,41,1
255,707183531240386560,41,1
256,16596200,41,2
257,27246431,41,1
258,65038134,41,1
259,304572237,41,1
260,425334901,40,1
261,2334732225,40,2
262,19971767,40,1
263,2897625526,40,1
264,142723022,40,1
265,468309918,40,1
266,18186092,40,1
267,242488617,39,1
268,21862314,39,1
269,14558692,39,2
270,1197819776460083200,39,1
271,711975936338632705,39,1
272,21756045,39,1
273,1956411776,39,1
274,354582942,38,2
275,18613572,38,1
276,23341173,38,2
277,366193744,38,1
278,847757344666791937,38,1
279,104476608,38,2
280,831531,38,1
281,347784852,38,1
282,4083501,38,1
283,212227711,38,1
284,23360374,38,1
285,3043072586,37,1
286,33923443,37,2
287,1009898791338573824,37,1
288,155953175,37,1
289,914212062,37,1
290,14932460,37,1
291,1345084453,37,1
292,18935403,37,1
293,2491577809,37,1
294,15366608,37,1
295,19108462,36,1
296,8592732,36,1
297,1035836402695630848,36,1
298,14889353,36,1
299,25048610,36,1
300,13486682,36,2
301,986199381547323392,36,1
302,524342465,36,1
303,84054078,35,1
304,93918341,35,1
305,1143235398774247425,35,1
306,465018324,35,1
307,1158749576045780993,35,1
308,481927076,35,1
309,14461227,35,1
310,869741959,35,2
311,2787230262,35,1
312,17286642,35,1
313,14115415,35,1
314,1339454438,35,1
315,3131243261,35,2
316,18088276,34,1
317,18778314,34,1
318,14062784,34,1
319,1946499043,34,1
320,24689052,34,1
321,4850825639,34,1
322,110347158,34,1
323,20595853,34,1
324,338613703,34,1
325,261871365,34,1
326,791897964,34,1
327,24933826,34,1
328,33979523,34,1
329,76053764,34,1
330,165020780,33,1
331,3945530657,33,1
332,185706559,33,2
333,155003159,33,1
334,3394056455,33,1
335,2828547014,33,2
336,2293315081,33,1
337,1551579763,33,1
338,14925532,33,1
339,351819539,33,1
340,42034114,33,2
341,98101389,33,1
342,595978668,33,1
343,485583363,33,1
344,728430104,33,1
345,401604361,33,1
346,328203,32,1
347,244979377,32,1
348,910825834986004480,32,1
349,17835336,32,1
350,848596898126671876,32,1
351,14859132,32,1
352,359188534,32,2
353,146428363,32,1
354,24209401,32,1
355,107704349,32,1
356,16612857,32,1
357,1083231,31,1
358,148118900,31,1
359,1009753502,31,1
360,277422349,31,1
361,318383192,31,2
